Problem;Number of Iterations;Termination Criterion;Makespan;Time (s);%Gap
ta01;50;5;1339;3.546875;4.8
ta01;50;10;1312;3.171875;2.7
ta01;50;20;1324;3.28125;3.6
ta01;100;5;1297;7.90625;1.5
ta01;100;10;1305;7.953125;2.1
ta01;100;20;1297;8.609375;1.5
ta01;250;5;1297;18.75;1.5
ta01;250;10;1287;16.578125;0.7
ta01;250;20;1297;15.875;1.5
ta01;500;5;1297;35.390625;1.5
ta01;500;10;1297;33.796875;1.5
ta01;500;20;1297;32.484375;1.5
ta01;1000;5;1297;70.28125;1.5
ta01;1000;10;1297;66.6875;1.5
ta01;1000;20;1297;64.75;1.5
ta01;2500;5;1297;182.25;1.5
ta01;2500;10;1297;166.5;1.5
ta01;2500;20;1297;162.734375;1.5
ta02;50;5;1383;3.3125;1.8
ta02;50;10;1383;3.078125;1.8
ta02;50;20;1371;3;0.9
ta02;100;5;1368;7.09375;0.7
ta02;100;10;1383;6.453125;1.8
ta02;100;20;1368;6.15625;0.7
ta02;250;5;1367;17.3125;0.6
ta02;250;10;1372;16.28125;1
ta02;250;20;1366;15.71875;0.5
ta02;500;5;1371;35.09375;0.9
ta02;500;10;1368;33.0625;0.7
ta02;500;20;1370;32.15625;0.8
ta02;1000;5;1368;69.921875;0.7
ta02;1000;10;1366;66.875;0.5
ta02;1000;20;1366;64.25;0.5
ta02;2500;5;1366;175.578125;0.5
ta02;2500;10;1360;166.8125;0.1
ta02;2500;20;1366;160.453125;0.5
ta03;50;5;1147;3.34375;6.1
ta03;50;10;1162;3.5;7.5
ta03;50;20;1171;3;8.3
ta03;100;5;1162;6.75;7.5
ta03;100;10;1162;6.75;7.5
ta03;100;20;1162;6.046875;7.5
ta03;250;5;1098;17.265625;1.6
ta03;250;10;1113;16.46875;3
ta03;250;20;1116;15.75;3.2
ta03;500;5;1139;34.59375;5.4
ta03;500;10;1114;32.875;3.1
ta03;500;20;1115;31.5;3.1
ta03;1000;5;1098;70.5625;1.6
ta03;1000;10;1105;66.515625;2.2
ta03;1000;20;1098;63.515625;1.6
ta03;2500;5;1132;175.234375;4.7
ta03;2500;10;1098;164.28125;1.6
ta03;2500;20;1088;203.515625;0.6
ta04;50;5;1385;5.140625;7.1
ta04;50;10;1361;5.21875;5.3
ta04;50;20;1397;4.515625;8
ta04;100;5;1352;10.03125;4.6
ta04;100;10;1371;8.890625;6
ta04;100;20;1368;7.734375;5.8
ta04;250;5;1350;22.34375;4.4
ta04;250;10;1351;22.0625;4.5
ta04;250;20;1339;20.875;3.6
ta04;500;5;1315;43.796875;1.7
ta04;500;10;1315;41.09375;1.7
ta04;500;20;1351;38.4375;4.5
ta04;1000;5;1322;84.171875;2.2
ta04;1000;10;1309;79.765625;1.2
ta04;1000;20;1310;77.265625;1.3
ta04;2500;5;1342;208.34375;3.8
ta04;2500;10;1309;234.953125;1.2
ta04;2500;20;1308;226.109375;1.2
ta05;50;5;1277;4.78125;3.3
ta05;50;10;1261;4.5625;2
ta05;50;20;1289;4.21875;4.3
ta05;100;5;1258;9.296875;1.8
ta05;100;10;1265;9.125;2.3
ta05;100;20;1279;9.234375;3.5
ta05;250;5;1250;25.296875;1.1
ta05;250;10;1291;23.640625;4.4
ta05;250;20;1250;21.578125;1.1
ta05;500;5;1253;49.265625;1.4
ta05;500;10;1250;46.3125;1.1
ta05;500;20;1250;44.40625;1.1
ta05;1000;5;1277;91.328125;3.3
ta05;1000;10;1250;79.84375;1.1
ta05;1000;20;1250;69.90625;1.1
ta05;2500;5;1250;191.65625;1.1
ta05;2500;10;1250;189.03125;1.1
ta05;2500;20;1244;176.71875;0.6
ta06;50;5;1272;3.796875;6.4
ta06;50;10;1257;3.859375;5.2
ta06;50;20;1249;3.765625;4.5
ta06;100;5;1228;9.953125;2.8
ta06;100;10;1245;9.40625;4.2
ta06;100;20;1272;9.203125;6.4
ta06;250;5;1224;18.921875;2.4
ta06;250;10;1224;18.53125;2.4
ta06;250;20;1268;17.921875;6.1
ta06;500;5;1224;38.40625;2.4
ta06;500;10;1224;39.328125;2.4
ta06;500;20;1224;37.328125;2.4
ta06;1000;5;1210;80.0625;1.3
ta06;1000;10;1210;74.5625;1.3
ta06;1000;20;1210;74.71875;1.3
ta06;2500;5;1221;206.53125;2.2
ta06;2500;10;1210;190.671875;1.3
ta06;2500;20;1224;180.421875;2.4
ta07;50;5;1259;3.859375;1.6
ta07;50;10;1259;4.28125;1.6
ta07;50;20;1259;3.703125;1.6
ta07;100;5;1251;8.1875;1
ta07;100;10;1267;7.296875;2.3
ta07;100;20;1259;7.453125;1.6
ta07;250;5;1259;20.84375;1.6
ta07;250;10;1251;20.03125;1
ta07;250;20;1251;19.140625;1
ta07;500;5;1259;40.96875;1.6
ta07;500;10;1251;38.828125;1
ta07;500;20;1259;36.421875;1.6
ta07;1000;5;1251;78.65625;1
ta07;1000;10;1251;74.40625;1
ta07;1000;20;1251;70.3125;1
ta07;2500;5;1251;200.078125;1
ta07;2500;10;1251;187.859375;1
ta07;2500;20;1257;176.90625;1.5
ta08;50;5;1274;4.15625;5.6
ta08;50;10;1312;4.015625;8.8
ta08;50;20;1283;3.65625;6.4
ta08;100;5;1258;8.484375;4.3
ta08;100;10;1283;7.734375;6.4
ta08;100;20;1283;7.640625;6.4
ta08;250;5;1235;20.78125;2.4
ta08;250;10;1251;19.234375;3.7
ta08;250;20;1259;18.84375;4.4
ta08;500;5;1250;41.984375;3.6
ta08;500;10;1283;39.140625;6.4
ta08;500;20;1222;38.046875;1.3
ta08;1000;5;1240;80.859375;2.8
ta08;1000;10;1229;78.578125;1.9
ta08;1000;20;1223;75.421875;1.4
ta08;2500;5;1230;208.921875;2
ta08;2500;10;1214;201.234375;0.7
ta08;2500;20;1215;191.59375;0.7
ta09;50;5;1290;4.21875;4.9
ta09;50;10;1271;3.640625;3.3
ta09;50;20;1290;3.46875;4.9
ta09;100;5;1286;8.234375;4.6
ta09;100;10;1271;7.953125;3.3
ta09;100;20;1298;7.46875;5.5
ta09;250;5;1282;20.921875;4.2
ta09;250;10;1271;19.890625;3.3
ta09;250;20;1298;18.765625;5.5
ta09;500;5;1255;42.171875;2
ta09;500;10;1255;40.078125;2
ta09;500;20;1255;36.4375;2
ta09;1000;5;1255;83.03125;2
ta09;1000;10;1253;78.328125;1.9
ta09;1000;20;1264;75.703125;2.8
ta09;2500;5;1278;207.3125;3.9
ta09;2500;10;1240;196.203125;0.8
ta09;2500;20;1255;185.859375;2
ta10;50;5;1174;3.984375;6
ta10;50;10;1185;4.15625;6.9
ta10;50;20;1185;3.515625;6.9
ta10;100;5;1146;7.921875;3.4
ta10;100;10;1181;7.9375;6.6
ta10;100;20;1188;7.21875;7.2
ta10;250;5;1136;21.4375;2.5
ta10;250;10;1111;19.328125;0.3
ta10;250;20;1161;18.9375;4.8
ta10;500;5;1127;41.390625;1.7
ta10;500;10;1151;38.4375;3.9
ta10;500;20;1148;37.015625;3.6
ta10;1000;5;1151;82.859375;3.9
ta10;1000;10;1127;79.25;1.7
ta10;1000;20;1137;74.234375;2.6
ta10;2500;5;1127;208.171875;1.7
ta10;2500;10;1124;196.625;1.4
ta10;2500;20;1119;190.515625;1
ta11;50;5;1659;4.421875;4.9
ta11;50;10;1729;4.4375;9.3
ta11;50;20;1698;3.984375;7.3
ta11;100;5;1678;9.140625;6.1
ta11;100;10;1627;8.375;2.8
ta11;100;20;1665;8.3125;5.2
ta11;250;5;1650;22.203125;4.3
ta11;250;10;1674;21.28125;5.8
ta11;250;20;1676;18.65625;5.9
ta11;500;5;1689;46.8125;6.8
ta11;500;10;1634;43.75;3.3
ta11;500;20;1638;41.515625;3.5
ta11;1000;5;1681;90.65625;6.3
ta11;1000;10;1622;86.53125;2.5
ta11;1000;20;1623;82.71875;2.6
ta11;2500;5;1669;230.1875;5.5
ta11;2500;10;1607;216.078125;1.6
ta11;2500;20;1625;208.5;2.7
ta12;50;5;1785;4.546875;7.6
ta12;50;10;1784;4.328125;7.5
ta12;50;20;1758;4.1875;6
ta12;100;5;1752;8.890625;5.6
ta12;100;10;1740;8.796875;4.9
ta12;100;20;1759;8.515625;6
ta12;250;5;1737;22.546875;4.7
ta12;250;10;1742;22.328125;5
ta12;250;20;1750;20.40625;5.5
ta12;500;5;1749;44.453125;5.4
ta12;500;10;1715;40.171875;3.4
ta12;500;20;1746;34.328125;5.2
ta12;1000;5;1728;80.65625;4.2
ta12;1000;10;1722;81.3125;3.8
ta12;1000;20;1722;73.71875;3.8
ta12;2500;5;1765;192.859375;6.4
ta12;2500;10;1701;177.40625;2.5
ta12;2500;20;1754;171.59375;5.7
ta13;50;5;1579;3.6875;5.5
ta13;50;10;1612;3.515625;7.8
ta13;50;20;1623;3.109375;8.5
ta13;100;5;1572;7.40625;5.1
ta13;100;10;1580;6.828125;5.6
ta13;100;20;1570;6.640625;4.9
ta13;250;5;1619;18.21875;8.2
ta13;250;10;1560;16.921875;4.3
ta13;250;20;1574;16.453125;5.2
ta13;500;5;1568;36.859375;4.8
ta13;500;10;1559;34.75;4.2
ta13;500;20;1542;33.734375;3.1
ta13;1000;5;1542;73.796875;3.1
ta13;1000;10;1547;68.015625;3.4
ta13;1000;20;1532;67.671875;2.4
ta13;2500;5;1556;182.640625;4
ta13;2500;10;1537;178.078125;2.7
ta13;2500;20;1535;207.625;2.6
ta14;50;5;1502;4.078125;9
ta14;50;10;1509;4.015625;9.5
ta14;50;20;1518;4.09375;10.2
ta14;100;5;1426;8.53125;3.5
ta14;100;10;1460;8.71875;6
ta14;100;20;1457;8.203125;5.7
ta14;250;5;1441;22.6875;4.6
ta14;250;10;1429;21.3125;3.7
ta14;250;20;1430;20.671875;3.8
ta14;500;5;1454;44.4375;5.5
ta14;500;10;1435;37.359375;4.1
ta14;500;20;1411;40.25;2.4
ta14;1000;5;1437;87.515625;4.3
ta14;1000;10;1417;77.5;2.8
ta14;1000;20;1414;68.828125;2.6
ta14;2500;5;1420;198.375;3
