Problem,Number of Iterations,Termination Criterion,Makespan,Time (s),%Gap
Taillard Benchmark/ta01.txt,50,5,1339.0,3.546875,4.8%
Taillard Benchmark/ta01.txt,50,10,1312.0,3.171875,2.7%
Taillard Benchmark/ta01.txt,50,20,1324.0,3.28125,3.6%
Taillard Benchmark/ta01.txt,100,5,1297.0,7.90625,1.5%
Taillard Benchmark/ta01.txt,100,10,1305.0,7.953125,2.1%
Taillard Benchmark/ta01.txt,100,20,1297.0,8.609375,1.5%
Taillard Benchmark/ta01.txt,250,5,1297.0,18.75,1.5%
Taillard Benchmark/ta01.txt,250,10,1287.0,16.578125,0.7%
Taillard Benchmark/ta01.txt,250,20,1297.0,15.875,1.5%
Taillard Benchmark/ta01.txt,500,5,1297.0,35.390625,1.5%
Taillard Benchmark/ta01.txt,500,10,1297.0,33.796875,1.5%
Taillard Benchmark/ta01.txt,500,20,1297.0,32.484375,1.5%
Taillard Benchmark/ta01.txt,1000,5,1297.0,70.28125,1.5%
Taillard Benchmark/ta01.txt,1000,10,1297.0,66.6875,1.5%
Taillard Benchmark/ta01.txt,1000,20,1297.0,64.75,1.5%
Taillard Benchmark/ta01.txt,2500,5,1297.0,182.25,1.5%
Taillard Benchmark/ta01.txt,2500,10,1297.0,166.5,1.5%
Taillard Benchmark/ta01.txt,2500,20,1297.0,162.734375,1.5%
Taillard Benchmark/ta02.txt,50,5,1383.0,3.3125,1.8%
Taillard Benchmark/ta02.txt,50,10,1383.0,3.078125,1.8%
Taillard Benchmark/ta02.txt,50,20,1371.0,3.0,0.9%
Taillard Benchmark/ta02.txt,100,5,1368.0,7.09375,0.7%
Taillard Benchmark/ta02.txt,100,10,1383.0,6.453125,1.8%
Taillard Benchmark/ta02.txt,100,20,1368.0,6.15625,0.7%
Taillard Benchmark/ta02.txt,250,5,1367.0,17.3125,0.6%
Taillard Benchmark/ta02.txt,250,10,1372.0,16.28125,1.0%
Taillard Benchmark/ta02.txt,250,20,1366.0,15.71875,0.5%
Taillard Benchmark/ta02.txt,500,5,1371.0,35.09375,0.9%
Taillard Benchmark/ta02.txt,500,10,1368.0,33.0625,0.7%
Taillard Benchmark/ta02.txt,500,20,1370.0,32.15625,0.8%
Taillard Benchmark/ta02.txt,1000,5,1368.0,69.921875,0.7%
Taillard Benchmark/ta02.txt,1000,10,1366.0,66.875,0.5%
Taillard Benchmark/ta02.txt,1000,20,1366.0,64.25,0.5%
Taillard Benchmark/ta02.txt,2500,5,1366.0,175.578125,0.5%
Taillard Benchmark/ta02.txt,2500,10,1360.0,166.8125,0.1%
Taillard Benchmark/ta02.txt,2500,20,1366.0,160.453125,0.5%
Taillard Benchmark/ta03.txt,50,5,1147.0,3.34375,6.1%
Taillard Benchmark/ta03.txt,50,10,1162.0,3.5,7.5%
Taillard Benchmark/ta03.txt,50,20,1171.0,3.0,8.3%
Taillard Benchmark/ta03.txt,100,5,1162.0,6.75,7.5%
Taillard Benchmark/ta03.txt,100,10,1162.0,6.75,7.5%
Taillard Benchmark/ta03.txt,100,20,1162.0,6.046875,7.5%
Taillard Benchmark/ta03.txt,250,5,1098.0,17.265625,1.6%
Taillard Benchmark/ta03.txt,250,10,1113.0,16.46875,3.0%
Taillard Benchmark/ta03.txt,250,20,1116.0,15.75,3.2%
Taillard Benchmark/ta03.txt,500,5,1139.0,34.59375,5.4%
Taillard Benchmark/ta03.txt,500,10,1114.0,32.875,3.1%
Taillard Benchmark/ta03.txt,500,20,1115.0,31.5,3.1%
Taillard Benchmark/ta03.txt,1000,5,1098.0,70.5625,1.6%
Taillard Benchmark/ta03.txt,1000,10,1105.0,66.515625,2.2%
Taillard Benchmark/ta03.txt,1000,20,1098.0,63.515625,1.6%
Taillard Benchmark/ta03.txt,2500,5,1132.0,175.234375,4.7%
Taillard Benchmark/ta03.txt,2500,10,1098.0,164.28125,1.6%
Taillard Benchmark/ta03.txt,2500,20,1088.0,203.515625,0.6%
Taillard Benchmark/ta04.txt,50,5,1385.0,5.140625,7.1%
Taillard Benchmark/ta04.txt,50,10,1361.0,5.21875,5.3%
Taillard Benchmark/ta04.txt,50,20,1397.0,4.515625,8.0%
Taillard Benchmark/ta04.txt,100,5,1352.0,10.03125,4.6%
Taillard Benchmark/ta04.txt,100,10,1371.0,8.890625,6.0%
Taillard Benchmark/ta04.txt,100,20,1368.0,7.734375,5.8%
Taillard Benchmark/ta04.txt,250,5,1350.0,22.34375,4.4%
Taillard Benchmark/ta04.txt,250,10,1351.0,22.0625,4.5%
Taillard Benchmark/ta04.txt,250,20,1339.0,20.875,3.6%
Taillard Benchmark/ta04.txt,500,5,1315.0,43.796875,1.7%
Taillard Benchmark/ta04.txt,500,10,1315.0,41.09375,1.7%
